pcwb_product_code,recycler,harddrive,image,ram,spider,TelevisionDisplayFormat,monitoredcategory,meta,TelevisionHDR10,dburls,images,availability,sku3,sku2,category,title,TVTunerDigitalTVTuner,numberofdeals,processormodel,image_srcx,monitoredattribute,html,imagebrightness,TelevisionDiagonalSize,price,stock,files,sku,description,ean,brand,monitoredattribute2,image_urls,breadcrumb,file_urls,date,TelevisionType,product_title,slotsqty,url,europrice,emptyslots,server,project,ip,image_url,useragent,model,processor
,,,,,,,,,,,,,,,,"Laura Ashley Creamware Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472080,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Creamware Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473483,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Soft Natural Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472141,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Steel Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472967,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pure White Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473407,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Twine Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472127,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Ivory Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472035,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Creamware Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583472783,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Dulux One Coat Bright Skies Emulsion paint, 30ml Tester pot",,,,,,,,,"£,1.79",1,,5010212661277,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Sable Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472196,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Sugared Grey White Matt Emulsion paint, 5L",,,,,,,,,"£,65",1,,5011583473032,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Slate Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472370,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Pale Linen Eggshell Emulsion paint, 750ml",,,,,,,,,"£,24",1,,5011583473452,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Silver White Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472288,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Sugared Grey Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472349,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Laura Ashley Dark Sugared Grey Matt Emulsion paint, 2.5L",,,,,,,,,"£,38",1,,5011583472356,,,,,,,,,,,,,,,,,,,,,
